Random推荐算法评估报告
==================================================

评估时间: 2025-09-24_16-06-58
数据路径: E:\data\merge\SR_GNN_NEW\data
API总数: 679
测试序列数: 560

评估结果:
------------------------------

Top-1 推荐结果:
  Recall@1:    0.0018
  Precision@1: 0.0018
  NDCG@1:      0.0018
  MAP@1:       0.0018

Top-2 推荐结果:
  Recall@2:    0.0089
  Precision@2: 0.0045
  NDCG@2:      0.0063
  MAP@2:       0.0054

Top-3 推荐结果:
  Recall@3:    0.0107
  Precision@3: 0.0036
  NDCG@3:      0.0072
  MAP@3:       0.0060

Top-4 推荐结果:
  Recall@4:    0.0143
  Precision@4: 0.0036
  NDCG@4:      0.0087
  MAP@4:       0.0068

Top-5 推荐结果:
  Recall@5:    0.0161
  Precision@5: 0.0032
  NDCG@5:      0.0094
  MAP@5:       0.0072

Top-6 推荐结果:
  Recall@6:    0.0179
  Precision@6: 0.0030
  NDCG@6:      0.0101
  MAP@6:       0.0075

Top-7 推荐结果:
  Recall@7:    0.0179
  Precision@7: 0.0026
  NDCG@7:      0.0101
  MAP@7:       0.0075

Top-8 推荐结果:
  Recall@8:    0.0179
  Precision@8: 0.0022
  NDCG@8:      0.0101
  MAP@8:       0.0075

Top-9 推荐结果:
  Recall@9:    0.0179
  Precision@9: 0.0020
  NDCG@9:      0.0101
  MAP@9:       0.0075

Top-10 推荐结果:
  Recall@10:    0.0232
  Precision@10: 0.0023
  NDCG@10:      0.0116
  MAP@10:       0.0080

Top-11 推荐结果:
  Recall@11:    0.0250
  Precision@11: 0.0023
  NDCG@11:      0.0121
  MAP@11:       0.0082

Top-12 推荐结果:
  Recall@12:    0.0268
  Precision@12: 0.0022
  NDCG@12:      0.0126
  MAP@12:       0.0083

Top-13 推荐结果:
  Recall@13:    0.0286
  Precision@13: 0.0022
  NDCG@13:      0.0130
  MAP@13:       0.0085

Top-14 推荐结果:
  Recall@14:    0.0304
  Precision@14: 0.0022
  NDCG@14:      0.0135
  MAP@14:       0.0086

Top-15 推荐结果:
  Recall@15:    0.0304
  Precision@15: 0.0020
  NDCG@15:      0.0135
  MAP@15:       0.0086

Top-16 推荐结果:
  Recall@16:    0.0339
  Precision@16: 0.0021
  NDCG@16:      0.0144
  MAP@16:       0.0088

Top-17 推荐结果:
  Recall@17:    0.0357
  Precision@17: 0.0021
  NDCG@17:      0.0148
  MAP@17:       0.0089

Top-18 推荐结果:
  Recall@18:    0.0357
  Precision@18: 0.0020
  NDCG@18:      0.0148
  MAP@18:       0.0089

Top-19 推荐结果:
  Recall@19:    0.0357
  Precision@19: 0.0019
  NDCG@19:      0.0148
  MAP@19:       0.0089

Top-20 推荐结果:
  Recall@20:    0.0393
  Precision@20: 0.0020
  NDCG@20:      0.0156
  MAP@20:       0.0091

Top-21 推荐结果:
  Recall@21:    0.0411
  Precision@21: 0.0020
  NDCG@21:      0.0160
  MAP@21:       0.0092

Top-22 推荐结果:
  Recall@22:    0.0411
  Precision@22: 0.0019
  NDCG@22:      0.0160
  MAP@22:       0.0092

Top-23 推荐结果:
  Recall@23:    0.0411
  Precision@23: 0.0018
  NDCG@23:      0.0160
  MAP@23:       0.0092

Top-24 推荐结果:
  Recall@24:    0.0446
  Precision@24: 0.0019
  NDCG@24:      0.0168
  MAP@24:       0.0094

Top-25 推荐结果:
  Recall@25:    0.0482
  Precision@25: 0.0019
  NDCG@25:      0.0175
  MAP@25:       0.0095

Top-26 推荐结果:
  Recall@26:    0.0482
  Precision@26: 0.0019
  NDCG@26:      0.0175
  MAP@26:       0.0095

Top-27 推荐结果:
  Recall@27:    0.0482
  Precision@27: 0.0018
  NDCG@27:      0.0175
  MAP@27:       0.0095

Top-28 推荐结果:
  Recall@28:    0.0482
  Precision@28: 0.0017
  NDCG@28:      0.0175
  MAP@28:       0.0095

Top-29 推荐结果:
  Recall@29:    0.0518
  Precision@29: 0.0018
  NDCG@29:      0.0183
  MAP@29:       0.0096

Top-30 推荐结果:
  Recall@30:    0.0536
  Precision@30: 0.0018
  NDCG@30:      0.0186
  MAP@30:       0.0097
